experience,gender,languageProficiency,age,type,collocation,firstGuess,time
less than one year,female,foreign language,18,camelCase,final step,true,1538
less than one year,female,foreign language,18,camelCase,bright star,true,716
less than one year,female,foreign language,18,kebab-case,silent wave,true,771
less than one year,female,foreign language,18,camelCase,green field,true,769
less than one year,female,foreign language,18,kebab-case,fast runner,true,667
less than one year,female,foreign language,18,camelCase,blue ocean,false,2115
less than one year,female,foreign language,18,kebab-case,swift arrow,true,532
less than one year,female,foreign language,18,camelCase,happy dream,true,334
less than one year,female,foreign language,18,kebab-case,mighty force,true,1604
less than one year,female,foreign language,18,camelCase,golden crown,true,667
less than one year,female,foreign language,18,kebab-case,shining star,true,712
less than one year,female,foreign language,18,camelCase,silver moon,true,507
less than one year,female,foreign language,18,kebab-case,broken chain,true,1229
less than one year,female,foreign language,18,camelCase,fiery flame,false,876
less than one year,female,foreign language,18,kebab-case,clear sky,true,358
less than one year,female,foreign language,18,kebab-case,final step,true,722
less than one year,female,foreign language,18,kebab-case,bright star,false,1115
less than one year,female,foreign language,18,camelCase,silent wave,true,699
less than one year,female,foreign language,18,kebab-case,green field,true,650
less than one year,female,foreign language,18,camelCase,fast runner,true,564
less than one year,female,foreign language,18,kebab-case,blue ocean,true,606
less than one year,female,foreign language,18,camelCase,swift arrow,true,585
less than one year,female,foreign language,18,kebab-case,happy dream,true,779
less than one year,female,foreign language,18,camelCase,mighty force,true,958
less than one year,female,foreign language,18,kebab-case,golden crown,true,513
less than one year,female,foreign language,18,camelCase,shining star,true,487
less than one year,female,foreign language,18,kebab-case,silver moon,true,729
less than one year,female,foreign language,18,camelCase,broken chain,true,659
less than one year,female,foreign language,18,kebab-case,fiery flame,true,464
less than one year,female,foreign language,18,camelCase,clear sky,true,398

more than three years,male,second language,19,camelCase,final step,true,2276
more than three years,male,second language,19,camelCase,bright star,true,1305
more than three years,male,second language,19,kebab-case,silent wave,true,1414
more than three years,male,second language,19,camelCase,green field,true,1147
more than three years,male,second language,19,kebab-case,fast runner,true,596
more than three years,male,second language,19,camelCase,blue ocean,true,1006
more than three years,male,second language,19,kebab-case,swift arrow,true,859
more than three years,male,second language,19,camelCase,happy dream,true,420
more than three years,male,second language,19,kebab-case,mighty force,true,1394
more than three years,male,second language,19,camelCase,golden crown,true,91
more than three years,male,second language,19,kebab-case,shining star,false,583
more than three years,male,second language,19,camelCase,silver moon,false,249
more than three years,male,second language,19,kebab-case,broken chain,true,97
more than three years,male,second language,19,camelCase,fiery flame,false,429
more than three years,male,second language,19,kebab-case,clear sky,false,220
more than three years,male,second language,19,kebab-case,final step,false,385
more than three years,male,second language,19,kebab-case,bright star,true,119
more than three years,male,second language,19,camelCase,silent wave,false,540
more than three years,male,second language,19,kebab-case,green field,false,274
more than three years,male,second language,19,camelCase,fast runner,false,443
more than three years,male,second language,19,kebab-case,blue ocean,true,131
more than three years,male,second language,19,camelCase,swift arrow,false,463
more than three years,male,second language,19,kebab-case,happy dream,true,217
more than three years,male,second language,19,camelCase,mighty force,false,575
more than three years,male,second language,19,kebab-case,golden crown,false,556
more than three years,male,second language,19,camelCase,shining star,true,494
more than three years,male,second language,19,kebab-case,silver moon,true,129
more than three years,male,second language,19,camelCase,broken chain,false,546
more than three years,male,second language,19,kebab-case,fiery flame,true,1130
more than three years,male,second language,19,camelCase,clear sky,false,360

one to three years,male,native speaker,21,camelCase,final step,true,2322
one to three years,male,native speaker,21,camelCase,bright star,true,2501
one to three years,male,native speaker,21,kebab-case,silent wave,true,1672
one to three years,male,native speaker,21,camelCase,green field,true,1572
one to three years,male,native speaker,21,kebab-case,fast runner,true,1352
one to three years,male,native speaker,21,camelCase,blue ocean,true,809
one to three years,male,native speaker,21,kebab-case,swift arrow,true,901
one to three years,male,native speaker,21,camelCase,happy dream,true,894
one to three years,male,native speaker,21,kebab-case,mighty force,false,3330
one to three years,male,native speaker,21,camelCase,golden crown,true,1643
one to three years,male,native speaker,21,kebab-case,shining star,true,1123
one to three years,male,native speaker,21,camelCase,silver moon,true,1448
one to three years,male,native speaker,21,kebab-case,broken chain,true,1292
one to three years,male,native speaker,21,camelCase,fiery flame,true,1164
one to three years,male,native speaker,21,kebab-case,clear sky,true,735
one to three years,male,native speaker,21,kebab-case,final step,true,702
one to three years,male,native speaker,21,kebab-case,bright star,true,964
one to three years,male,native speaker,21,camelCase,silent wave,false,1318
one to three years,male,native speaker,21,kebab-case,green field,true,1169
one to three years,male,native speaker,21,camelCase,fast runner,true,706
one to three years,male,native speaker,21,kebab-case,blue ocean,false,1147
one to three years,male,native speaker,21,camelCase,swift arrow,true,858
one to three years,male,native speaker,21,kebab-case,happy dream,true,808
one to three years,male,native speaker,21,camelCase,mighty force,true,1475
one to three years,male,native speaker,21,kebab-case,golden crown,true,868
one to three years,male,native speaker,21,camelCase,shining star,true,1088
one to three years,male,native speaker,21,kebab-case,silver moon,true,729
one to three years,male,native speaker,21,camelCase,broken chain,true,1400
one to three years,male,native speaker,21,kebab-case,fiery flame,true,877
one to three years,male,native speaker,21,camelCase,clear sky,true,603

less than one year,male,foreign language,18,camelCase,final step,true,1434
less than one year,male,foreign language,18,camelCase,bright star,true,2229
less than one year,male,foreign language,18,kebab-case,silent wave,true,1159
less than one year,male,foreign language,18,camelCase,green field,true,1357
less than one year,male,foreign language,18,kebab-case,fast runner,true,682
less than one year,male,foreign language,18,camelCase,blue ocean,true,1264
less than one year,male,foreign language,18,kebab-case,swift arrow,true,869
less than one year,male,foreign language,18,camelCase,happy dream,true,641
less than one year,male,foreign language,18,kebab-case,mighty force,true,1674
less than one year,male,foreign language,18,camelCase,golden crown,true,1075
